% List of vertices
%
%   User  :  MEURY
%   Date  :  10-Feb-2006 15:53:56
%
%   The first column contains the global index of each vertex.
%

1      +0.000000e+00  +0.000000e+00
2      +2.000000e+00  +0.000000e+00
3      +2.000000e+00  +1.000000e+00
4      +3.000000e+00  +0.000000e+00
5      +6.000000e+00  +3.000000e+00
6      +3.000000e+00  +6.000000e+00
7      +0.000000e+00  +3.000000e+00
8      +1.000000e+00  +2.000000e+00
9      +0.000000e+00  +2.000000e+00
10     +3.000000e+00  +3.000000e+00
